iter	Passed	Remaining
680	9843	2659
681	9856	2644
682	9869	2630
683	9882	2615
684	9895	2600
685	9909	2585
686	9923	2571
687	9938	2556
688	9952	2542
689	9964	2527
690	9977	2512
691	9989	2497
692	10002	2482
693	10015	2467
694	10028	2452
695	10040	2437
696	10052	2423
697	10065	2408
698	10080	2393
699	10094	2379
700	10109	2365
701	10124	2350
702	10137	2336
703	10152	2321
704	10165	2307
705	10179	2292
706	10193	2278
707	10206	2263
708	10219	2248
709	10233	2234
710	10246	2219
711	10258	2204
712	10270	2189
713	10284	2175
714	10297	2160
715	10310	2145
716	10324	2131
717	10337	2116
718	10350	2101
719	10364	2087
720	10376	2072
721	10390	2058
722	10402	2043
723	10416	2028
724	10428	2013
725	10440	1998
726	10452	1984
727	10466	1969
728	10479	1955
729	10493	1940
730	10507	1926
731	10520	1911
732	10533	1896
733	10545	1882
734	10559	1867
735	10573	1853
736	10587	1838
737	10600	1824
738	10613	1809
739	10626	1794
740	10639	1780
741	10653	1765
742	10665	1751
743	10679	1736
744	10692	1722
745	10706	1707
746	10721	1693
747	10734	1679
748	10748	1664
749	10760	1649
750	10774	1635
751	10788	1621
752	10800	1606
753	10812	1591
754	10824	1577
755	10836	1562
756	10850	1547
757	10864	1533
758	10877	1519
759	10890	1504
760	10904	1490
761	10916	1475
762	10930	1461
763	10944	1446
764	10956	1432
765	10970	1417
766	10984	1403
767	10998	1389
768	11012	1374
769	11026	1360
770	11040	1346
771	11054	1331
772	11068	1317
773	11083	1303
774	11097	1288
775	11111	1274
776	11125	1260
777	11139	1245
778	11153	1231
779	11167	1216
780	11181	1202
781	11194	1188
782	11208	1173
783	11222	1159
784	11235	1145
785	11249	1130
786	11261	1116
787	11273	1101
788	11288	1087
789	11302	1073
790	11315	1058
791	11329	1044
792	11343	1029
793	11356	1015
794	11370	1001
795	11383	986
796	11397	972
797	11411	958
798	11424	943
799	11438	929
800	11451	914
801	11464	900
802	11477	886
803	11491	871
804	11504	857
805	11519	843
806	11533	828
807	11546	814
808	11560	800
809	11574	785
810	11587	771
811	11601	757
812	11614	742
813	11627	728
814	11640	714
815	11654	699
816	11665	685
817	11679	671
818	11692	656
819	11706	642
820	11719	628
821	11733	613
822	11745	599
823	11759	585
824	11773	570
825	11785	556
826	11797	542
827	11812	527
828	11826	513
829	11838	499
830	11852	484
831	11866	470
832	11879	456
833	11893	442
834	11906	427
835	11921	413
836	11935	399
837	11950	385
838	11963	370
839	11978	356
840	11991	342
841	12006	327
842	12020	313
843	12035	299
844	12049	285
845	12063	270
846	12078	256
847	12092	242
848	12106	228
849	12121	213
850	12135	199
851	12149	185
852	12163	171
853	12177	156
854	12188	142
855	12202	128
856	12215	114
857	12228	99
858	12241	85
859	12254	71
860	12268	56
861	12282	42
862	12295	28
863	12309	14
864	12323	0
