DEPTH,ACOUSTICIMPEDANCE1,AI,AVG_PIGN,CALI,CALI[DERIVED]1,DEVI,DFL,DT,FACIES,FLD1,GR,HDRS,HMRS,DEPTH_1,NPHI,PEF,PERF_INT,PERMEABILITY,PIGN,PIGN_MODELLING,PIMP,RHOB,LLD,RT_MODELLING,RT_POWER,SP,SUWI,SUWI_MODELLING,SXWI,TDVSS,VCL,WATER_VOL,ZLT
1557.848,2578.2332,2584589.75,nan,8.7571,8.7571,1.3744,66.1729,150.7311,3.0,nan,21.1939,40.9799,42.9498,1557.848,0.824,0.8485,nan,0.0155,0.0001,0.01,8479.625,1.275,30.5551,30.5551,933.6116,-197.9364,1.0,1.0,1.0,-1470.478,0.001,0.0001,19.0
1557.8721,2601.0723,2601072.25,nan,8.7593,8.7593,1.3834,63.9521,150.727,3.0,nan,22.0411,38.732,40.5751,1557.8721,0.8257,0.8852,nan,0.0153,0.0001,0.01,8533.7021,1.2863,28.7996,28.7996,845.824,-197.938,1.0,1.0,1.0,-1470.5021,0.0013,0.0001,19.0
1558.0004,2720.0859,2723225.25,nan,8.7706,8.7706,1.3249,52.1291,150.8488,3.0,nan,26.5517,26.7649,27.9327,1558.0004,0.8349,1.187,nan,0.0146,0.0001,0.01,8934.4668,1.3462,19.4544,19.4544,378.4736,-197.9338,1.0,1.0,1.0,-1470.6304,0.003,0.0001,19.0
1558.0244,2746.0754,2746075.5,nan,8.7753,8.7753,1.314,49.1103,150.8716,3.0,nan,27.5732,25.2211,26.296,1558.0244,0.8391,1.2434,nan,0.0144,0.0001,0.01,9009.4346,1.3593,18.3977,18.3977,344.449,-197.933,1.0,1.0,1.0,-1470.6544,0.009,0.0001,19.0
1558.1528,2878.8669,2875084.25,nan,8.8005,8.8005,1.3212,32.9598,151.3144,3.0,nan,33.0382,16.9616,17.5398,1558.1528,0.8617,1.5817,nan,0.0137,0.0001,0.01,9432.6904,1.4292,12.7443,12.7443,162.4172,-197.9375,1.0,1.0,1.0,-1470.7828,0.041,0.0001,19.0
1558.1768,2899.198,2899198.0,nan,8.7986,8.7986,1.3226,30.8297,151.3972,3.0,nan,33.9681,16.0752,16.5981,1558.1768,0.8621,1.6449,nan,0.0135,0.0001,0.01,9511.8037,1.4401,12.2179,12.2179,150.76,-197.9384,1.0,1.0,1.0,-1470.8068,0.0815,0.0001,19.0
1558.3052,3003.573,2996766.0,nan,8.7882,8.7882,1.3089,19.4338,152.0432,3.0,nan,38.9432,11.3325,11.56,1558.3052,0.864,1.9375,nan,0.0127,0.0001,0.01,9831.9092,1.4983,9.4018,9.4018,88.394,-197.938,1.0,1.0,1.0,-1470.9352,0.298,0.0001,19.0
1558.3292,3015.0032,3015003.0,nan,8.7813,8.7813,1.3063,18.4271,152.1639,3.0,nan,39.5234,10.9314,11.1291,1558.3292,0.8612,1.9922,nan,0.0126,0.0001,0.01,9891.7422,1.5052,9.2293,9.2293,85.3399,-197.9379,1.0,1.0,1.0,-1470.9592,0.346,0.0001,19.0
1558.4576,3079.3318,3070310.25,nan,8.7445,8.7445,1.244,13.0413,152.637,3.0,nan,42.6274,8.7854,8.824,1558.4576,0.8462,2.176,nan,0.0118,0.0001,0.01,10073.1953,1.5421,8.3066,8.3066,69.0003,-197.9338,1.0,1.0,1.0,-1471.0876,0.603,0.0001,19.0
1558.4816,3080.6479,3080648.0,nan,8.7408,8.7408,1.2323,12.7028,152.7254,3.0,nan,42.8318,8.6875,8.7132,1558.4816,0.8429,2.2104,nan,0.0117,0.0001,0.01,10107.1123,1.5436,8.3533,8.3533,69.7888,-197.933,1.0,1.0,1.0,-1471.1116,0.5802,0.0001,19.0
