DEPTH,ACOUSTICIMPEDANCE1,AI,AVG_PIGN,CALI,CALI[DERIVED]1,DT,FACIES,FLD1,GR,LLD,LLS,LL3,DEPTH_1,NPHI,PERF_INT,PERMEABILITY,PIGN,PIGN_MODELLING,PIMP,RHOB,RT_MODELLING,RT_POWER,SP,SUWI,SUWI_MODELLING,TDVSS,VCL,WATER_VOL,ZLT
1262.329,5017.6758,5017676.0,nan,10.4219,10.4219,132.3038,0.0,nan,50.9976,1.2555,1.256,1.5419,1262.329,0.5906,nan,nan,0.0151,0.0151,16462.1914,2.178,1.2555,1.5776,11.9596,1.0,1.0,-1190.739,83.3661,0.0151,nan
1262.4384,5300.2402,5304837.5,nan,10.2629,10.2629,127.4466,0.0,nan,51.073,1.3138,1.3364,1.6895,1262.4384,0.58,nan,nan,0.0176,0.0176,17404.3223,2.2162,1.3138,1.726,11.2546,1.0,1.0,-1190.8484,80.662,0.0176,nan
1262.4814,5417.7075,5417707.5,nan,10.2192,10.2192,125.5375,0.0,nan,50.679,1.3427,1.3728,1.7417,1262.4813,0.5766,nan,nan,0.0184,0.0184,17774.6309,2.2314,1.3427,1.8049,10.9648,1.0,1.0,-1190.8914,79.7148,0.0184,nan
1262.5908,5644.2231,5637312.0,nan,10.1081,10.1081,122.5854,0.0,nan,49.6768,1.4162,1.4655,1.8745,1262.5908,0.5681,nan,nan,0.0206,0.0206,18495.1191,2.27,1.4162,2.0056,10.2277,1.0,1.0,-1191.0007,77.305,0.0206,nan
1262.6338,5723.6284,5723628.5,nan,10.0834,10.0834,121.425,0.0,nan,48.7563,1.4461,1.5011,1.9154,1262.6338,0.5675,nan,nan,0.021,0.021,18778.3086,2.2802,1.4461,2.0934,9.9666,1.0,1.0,-1191.0437,76.8866,0.021,nan
1262.7432,5804.6924,5792037.0,nan,10.0204,10.0204,121.0847,0.0,nan,46.4146,1.5221,1.5916,2.0194,1262.7432,0.566,nan,nan,0.022,0.022,19002.7461,2.306,1.5221,2.3167,9.3025,1.0,1.0,-1191.1532,75.822,0.022,nan
1262.7862,5818.9253,5818925.0,nan,10.0089,10.0089,120.951,0.0,nan,45.3855,1.5468,1.6189,2.0538,1262.7861,0.5709,nan,nan,0.0215,0.0215,19090.9609,2.3091,1.5468,2.3941,9.1058,1.0,1.0,-1191.1962,76.3118,0.0215,nan
1262.8956,5680.7051,5673429.0,nan,9.9799,9.9799,124.3172,0.0,nan,42.7673,1.6097,1.6883,2.1412,1262.8956,0.5833,nan,nan,0.0204,0.0204,18613.6133,2.317,1.6097,2.5911,8.6056,1.0,1.0,-1191.3055,77.558,0.0204,nan
1262.9386,5616.2417,5616241.5,nan,9.9894,9.9894,125.6403,0.0,nan,42.2174,1.6243,1.7011,2.1519,1262.9386,0.5928,nan,nan,0.0193,0.0193,18425.9902,2.315,1.6243,2.6391,8.4962,1.0,1.0,-1191.3485,78.7515,0.0193,nan
1263.048,5402.5396,5404468.0,nan,10.0137,10.0137,130.3355,0.0,nan,40.8182,1.6616,1.7337,2.1792,1263.048,0.6168,nan,nan,0.0166,0.0166,17731.1934,2.3102,1.6616,2.761,8.2177,1.0,1.0,-1191.458,81.788,0.0166,nan
1263.091,5321.2295,5321229.5,nan,10.0313,10.0313,132.181,0.0,nan,40.7228,1.6651,1.7291,2.1589,1263.0909,0.6258,nan,nan,0.0155,0.0155,17458.1016,2.3076,1.6651,2.7724,8.1925,1.0,1.0,-1191.501,82.9361,0.0155,nan
1263.2004,5128.6221,5135579.5,nan,10.0761,10.0761,136.7594,0.0,nan,40.4799,1.6738,1.7175,2.1072,1263.2004,0.6487,nan,nan,0.0129,0.0129,16849.0137,2.3011,1.6738,2.8014,8.1285,1.0,1.0,-1191.6104,85.857,0.0129,nan
1263.2434,5062.6089,5062609.0,nan,10.093,10.093,138.559,0.0,nan,40.8191,1.6693,1.6993,2.0729,1263.2434,0.6523,nan,nan,0.0125,0.0125,16609.6094,2.3014,1.6693,2.7868,8.1707,1.0,1.0,-1191.6533,86.2805,0.0125,nan
1263.3528,4981.7134,4987688.5,nan,10.136,10.136,140.8512,0.0,nan,41.6822,1.6581,1.653,1.9856,1263.3528,0.6616,nan,nan,0.0115,0.0115,16363.8086,2.3021,1.6581,2.7494,8.2779,1.0,1.0,-1191.7628,87.358,0.0115,nan
1263.3958,4958.2412,4958241.0,nan,10.1487,10.1487,141.7521,0.0,nan,42.4925,1.6509,1.6312,1.9459,1263.3958,0.6605,nan,nan,0.0117,0.0117,16267.1953,2.3059,1.6509,2.7257,8.3807,1.0,1.0,-1191.8058,87.1264,0.0117,nan
1263.5052,4958.7612,4961272.0,nan,10.181,10.181,142.3329,0.0,nan,44.5542,1.6326,1.5757,1.845,1263.5051,0.6576,nan,nan,0.0122,0.0122,16277.1387,2.3156,1.6326,2.6654,8.6421,1.0,1.0,-1191.9152,86.537,0.0122,nan
1263.5482,4962.4629,4962463.0,nan,10.1857,10.1857,142.5612,0.0,nan,45.6363,1.6238,1.5609,1.82,1263.5481,0.6555,nan,nan,0.0126,0.0126,16281.0469,2.321,1.6238,2.6371,8.7888,1.0,1.0,-1191.9581,86.164,0.0126,nan
1263.6576,5015.2749,5014979.0,nan,10.1977,10.1977,141.902,0.0,nan,48.3895,1.6016,1.5232,1.7565,1263.6576,0.6501,nan,nan,0.0134,0.0134,16453.3438,2.3349,1.6016,2.5651,9.1622,1.0,1.0,-1192.0676,85.215,0.0134,nan
1263.7006,5035.6206,5035620.5,nan,10.1964,10.1964,141.6429,0.0,nan,49.4048,1.593,1.5162,1.7442,1263.7006,0.6489,nan,nan,0.0137,0.0137,16521.0645,2.3401,1.593,2.5378,9.2905,1.0,1.0,-1192.1106,84.9605,0.0137,nan
1263.81,5069.689,5067988.0,nan,10.1931,10.1931,141.4852,0.0,nan,51.9878,1.5711,1.4984,1.713,1263.8099,0.6458,nan,nan,0.0143,0.0143,16627.2578,2.3533,1.5711,2.4683,9.6171,1.0,1.0,-1192.22,84.313,0.0143,nan
1263.853,5080.71,5080710.0,nan,10.2068,10.2068,141.4232,0.0,nan,52.4844,1.5649,1.4964,1.703,1263.8529,0.6443,nan,nan,0.0144,0.0144,16668.9961,2.3574,1.5649,2.4492,9.7421,1.0,1.0,-1192.2629,84.0458,0.0144,nan
