DEPTH,ACOUSTICIMPEDANCE1,AI,AVG_PIGN,CALI,CALI[DERIVED]1,DFL,DT,FACIES,FLD1,GR,HDRS,HMRS,DEPTH_1,NPHI,ONE-WAYTIME1,PERF_INT,PERMEABILITY,PIGN,PIGN_MODELLING,PIMP,RHOB,RT_MODELLING,RT_POWER,SP,SUWI,SUWI_MODELLING,TDVSS,VCL,WATER_VOL,ZLT
1370.8952,5281.6255,5281625.5,nan,9.3315,9.3315,1.2944,132.2823,0.0,nan,69.4853,1.118,1.1502,1370.8951,0.5935,-623.5662,nan,0.0096,0.0238,0.0238,17328.168,2.2922,1.2944,1.6754,266.7422,1.0,1.0,-1292.4052,73.779,0.0238,1.0
1371.0476,5208.6133,5208613.0,nan,9.4117,9.4117,1.321,133.1219,0.0,nan,69.9458,1.1643,1.2106,1371.0476,0.6084,-623.6398,nan,0.0061,0.0221,0.0221,17088.627,2.2749,1.321,1.745,266.6153,1.0,1.0,-1292.5576,75.729,0.0221,1.0
1371.2,5102.3545,5102354.5,nan,9.5497,9.5497,1.4091,134.2711,0.0,nan,69.0837,1.1949,1.2507,1371.2,0.6258,-623.7133,nan,0.0038,0.0209,0.0209,16740.0098,2.2477,1.4091,1.9856,266.7646,1.0,1.0,-1292.71,77.021,0.0209,1.0
1371.3524,5023.1978,5023197.5,nan,9.6593,9.6593,1.46,135.5217,0.0,nan,67.9838,1.1835,1.2356,1371.3524,0.636,-623.7868,nan,0.003,0.0204,0.0204,16480.3066,2.2334,1.46,2.1316,267.1958,1.0,1.0,-1292.8624,77.52,0.0204,1.0
1371.5048,4985.1626,4985163.0,nan,9.7132,9.7132,1.4139,136.5484,0.0,nan,67.4189,1.146,1.1824,1371.5048,0.6389,-623.8604,nan,0.0029,0.0206,0.0206,16355.5215,2.2333,1.4139,1.9992,267.3713,1.0,1.0,-1293.0148,77.305,0.0206,1.0
1371.6572,4951.8359,4951835.5,nan,9.7532,9.7532,1.3588,137.3775,0.0,nan,67.3546,1.1243,1.1524,1371.6572,0.6366,-623.9339,nan,0.0034,0.0215,0.0215,16246.1807,2.2319,1.3588,1.8464,267.7388,1.0,1.0,-1293.1672,76.394,0.0215,1.0
1371.8096,4899.1733,4899173.5,nan,9.8037,9.8037,1.3204,138.1923,0.0,nan,67.8644,1.1279,1.1551,1371.8096,0.6299,-624.0074,nan,0.0045,0.023,0.023,16073.4043,2.2212,1.3204,1.7434,268.2768,1.0,1.0,-1293.3196,74.717,0.023,1.0
1371.962,4878.4321,4878432.0,nan,9.8252,9.8252,1.3123,138.3799,0.0,nan,68.6799,1.1276,1.151,1371.962,0.6167,-624.0809,nan,0.0069,0.0249,0.0249,16005.3555,2.2148,1.3123,1.722,268.4246,1.0,1.0,-1293.472,72.6,0.0249,1.0
1372.1144,4954.4741,4954474.0,nan,9.7899,9.7899,1.3016,137.0706,0.0,nan,69.25,1.1172,1.1316,1372.1144,0.5994,-624.1545,nan,0.0114,0.027,0.027,16254.8369,2.2281,1.3016,1.6941,268.4568,1.0,1.0,-1293.6244,70.299,0.027,1.0
1372.2668,5142.853,5142853.0,nan,9.6604,9.6604,1.2734,133.992,0.0,nan,69.2832,1.1146,1.1184,1372.2668,0.5795,-624.228,nan,0.0184,0.0287,0.0287,16872.877,2.2608,1.2734,1.6216,268.1186,1.0,1.0,-1293.7767,68.431,0.0287,1.0
1372.4192,5441.3999,5441400.0,nan,9.4297,9.4297,1.2576,129.4378,0.0,nan,69.4639,1.1403,1.1414,1372.4192,0.5628,-624.3016,nan,0.0261,0.0297,0.0297,17852.3613,2.3108,1.2576,1.5816,266.8553,1.0,1.0,-1293.9292,67.361,0.0297,1.0
1372.5716,5810.479,5810479.0,nan,9.2362,9.2362,1.2743,124.4735,0.0,nan,70.758,1.2229,1.2358,1372.5715,0.5517,-624.3751,nan,0.0332,0.0302,0.0302,19063.252,2.3729,1.2743,1.6238,265.2197,1.0,1.0,-1294.0815,66.769,0.0302,1.0
1372.724,6191.3745,6191374.5,nan,9.1658,9.1658,1.4307,119.9843,0.0,nan,72.7108,1.3676,1.389,1372.724,0.5444,-624.4486,nan,0.0242,0.026,0.026,20312.9082,2.4372,1.4307,2.0469,263.5562,1.0,1.0,-1294.234,66.349,0.026,1.0
1372.8764,6549.105,6549105.0,nan,9.1226,9.1226,1.6787,115.9324,0.0,nan,74.4451,1.5171,1.5459,1372.8763,0.5318,-624.5222,nan,0.0085,0.0174,0.0174,21486.5645,2.491,1.6787,2.8179,261.9205,1.0,1.0,-1294.3864,66.428,0.0174,1.0
1373.0288,6925.7158,6925716.0,nan,9.0771,9.0771,1.9606,111.7658,0.0,nan,75.4284,1.6259,1.6977,1373.0288,0.5157,-624.5956,nan,0.0077,0.016,0.016,22722.1641,2.5396,1.9606,3.8441,261.0629,1.0,1.0,-1294.5388,66.46,0.016,1.0
1373.1812,7209.4575,7209458.0,nan,9.0701,9.0701,2.1849,108.5318,0.0,nan,74.4566,1.7409,1.804,1373.1812,0.5091,-624.6692,nan,0.0174,0.0205,0.0205,23653.0762,2.5671,2.1849,4.774,261.1079,1.0,1.0,-1294.6912,66.656,0.0205,1.0
1373.3336,7168.21,7168210.0,nan,9.1335,9.1335,2.3415,108.2272,0.0,nan,71.922,1.9338,1.9056,1373.3336,0.5199,-624.7427,nan,0.043,0.0288,0.0288,23517.75,2.5453,2.3415,5.4825,261.701,1.0,1.0,-1294.8436,66.807,0.0288,1.0
1373.486,6769.1709,6769171.0,nan,9.2428,9.2428,2.7539,111.3723,0.0,nan,69.6651,2.1239,2.1267,1373.486,0.5417,-624.8163,nan,0.034,0.0291,0.0291,22208.5664,2.4734,2.7539,7.5837,262.7858,1.0,1.0,-1294.996,67.946,0.0291,1.0
1373.6384,6279.5186,6279518.5,nan,9.3245,9.3245,3.1286,116.8134,0.0,nan,68.1611,2.0968,2.2097,1373.6384,0.5614,-624.8898,nan,0.0248,0.0286,0.0286,20602.0957,2.4066,3.1286,9.7882,263.7888,1.0,1.0,-1295.1484,68.521,0.0286,1.0
1373.7908,6013.9556,6013955.5,nan,9.3469,9.3469,2.8754,121.4399,0.0,nan,68.276,1.7893,1.8355,1373.7908,0.5649,-624.9633,nan,0.0283,0.0301,0.0301,19730.8242,2.3961,2.8754,8.268,264.0487,1.0,1.0,-1295.3008,66.914,0.0301,1.0
1373.9432,5983.0181,5983018.0,nan,9.3381,9.3381,2.006,122.8758,0.0,nan,70.3193,1.4924,1.4706,1373.9432,0.5477,-625.0369,nan,0.046,0.033,0.033,19629.3242,2.412,2.006,4.024,263.8526,1.0,1.0,-1295.4531,63.688,0.033,1.0
1374.0956,6055.1763,6055176.5,nan,9.3205,9.3205,1.5688,121.4488,0.0,nan,72.9293,1.3904,1.3735,1374.0956,0.5204,-625.1104,nan,0.075,0.036,0.036,19866.0645,2.4127,1.5688,2.4611,263.0818,1.0,1.0,-1295.6056,60.368,0.036,1.0
