DEPTH,ACOUSTICIMPEDANCE1,AI,AVG_PIGN,CALI,CALI[DERIVED]1,DT,FACIES,FLD1,GR,LLD,LLS,LL3,DEPTH_1,NPHI,ONE-WAYTIME1,PERF_INT,PERMEABILITY,PHIT,PIGE,PIGN,PIGN_MODELLING,PIMP,RHOB,LLD_1,RT_MODELLING,RT_POWER,SP,SUWI,SUWI_MODELLING,SXWI,TDVSS,VCL,WATER_VOL,ZLT
1264.6156,4282.2441,4282244.0,nan,9.258,9.258,155.767,0.0,nan,40.8886,0.9979,0.9826,1.169,1264.6156,0.5986,-572.6691,nan,nan,0.2951,0.0562,0.0562,0.0562,14049.3574,2.1884,0.998,0.9979,0.9959,34.0207,1.0,1.0,1.0,-1186.9155,78.3362,0.0562,nan
1264.7244,4320.0884,4319846.0,nan,9.3013,9.3013,154.7047,0.0,nan,41.3714,0.9996,0.9781,1.1373,1264.7244,0.6147,-572.7216,nan,nan,0.2964,0.0483,0.0483,0.0483,14172.7236,2.1927,0.9996,0.9996,0.9991,34.054,1.0,1.0,1.0,-1187.0244,81.356,0.0483,nan
1264.768,4334.9146,4334914.5,nan,9.3338,9.3338,154.279,0.0,nan,41.8309,0.9953,0.9774,1.1277,1264.7679,0.6198,-572.7426,nan,nan,0.2969,0.0457,0.0457,0.0457,14222.1602,2.1942,0.9953,0.9953,0.9907,34.0625,1.0,1.0,1.0,-1187.068,82.3745,0.0457,nan
1264.8768,4404.4482,4399680.0,nan,9.4151,9.4151,152.0973,0.0,nan,42.9775,0.9847,0.9756,1.1039,1264.8768,0.6324,-572.7951,nan,nan,0.2981,0.0391,0.0391,0.0391,14434.6445,2.1978,0.9847,0.9847,0.9697,34.0838,1.0,1.0,1.0,-1187.1768,84.916,0.0391,nan
1264.9204,4425.6338,4425633.5,nan,9.4675,9.4675,151.223,0.0,nan,43.0063,0.9765,0.9721,1.1001,1264.9204,0.6343,-572.8161,nan,nan,0.2982,0.0382,0.0382,0.0382,14519.7949,2.1957,0.9765,0.9765,0.9538,34.083,1.0,1.0,1.0,-1187.2203,85.2487,0.0382,nan
1265.0292,4463.9111,4459483.0,nan,9.5983,9.5983,149.5646,0.0,nan,43.0782,0.9562,0.9636,1.0906,1265.0292,0.6391,-572.8686,nan,nan,0.2986,0.0361,0.0361,0.0361,14630.8506,2.1904,0.9561,0.9562,0.9142,34.081,1.0,1.0,1.0,-1187.3292,86.079,0.0361,nan
1265.0728,4473.0479,4473048.0,nan,9.6498,9.6498,148.9,0.0,nan,42.7411,0.9474,0.9561,1.0935,1265.0728,0.638,-572.8896,nan,nan,0.2984,0.037,0.037,0.037,14675.3545,2.1852,0.9473,0.9474,0.8978,34.0803,1.0,1.0,1.0,-1187.3728,85.7434,0.037,nan
1265.1816,4456.1001,4454703.0,nan,9.7783,9.7783,148.5668,0.0,nan,41.9,0.9256,0.9376,1.1008,1265.1816,0.635,-572.9421,nan,nan,0.2981,0.0391,0.0391,0.0391,14615.168,2.172,0.9255,0.9256,0.8567,34.0784,1.0,1.0,1.0,-1187.4816,84.906,0.0391,nan
1265.2253,4447.3345,4447334.5,nan,9.833,9.833,148.433,0.0,nan,41.1451,0.919,0.9284,1.0988,1265.2253,0.6328,-572.9632,nan,nan,0.2978,0.0407,0.0407,0.0407,14590.9932,2.1658,0.919,0.919,0.8447,34.078,1.0,1.0,1.0,-1187.5253,84.309,0.0407,nan
1265.334,4395.459,4398403.5,nan,9.969,9.969,149.111,0.0,nan,39.2674,0.9027,0.9054,1.0939,1265.334,0.6273,-573.0157,nan,nan,0.2971,0.0445,0.0445,0.0445,14430.457,2.1503,0.9027,0.9027,0.8149,34.0769,1.0,1.0,1.0,-1187.634,82.824,0.0445,nan
