DEPTH,ACOUSTICIMPEDANCE1,AVG_PIGN,CALI,CALI[DERIVED]1,DFL,DT,FACIES,FLD1,GR,HDRS,HMRS,NPHI,PERF_INT,PIGN,PIGN_MODELLING,RHOB,SP,SUWI,SUWI_MODELLING,TDVSS,VCL,ZLT
1090.3172,4068.0593,nan,9.4661,9.4661,1.1874,153.2722,nan,nan,58.9124,1.0142,1.0154,0.6808,nan,0.0113,0.0113,2.0457,271.3429,1.0,1.0,-1011.6972,91.328,nan
1090.4696,4029.9797,nan,9.4222,9.4222,1.2208,154.3619,nan,nan,59.1761,1.0389,1.0388,0.7271,nan,0.0046,0.0046,2.0409,271.208,1.0,1.0,-1011.8496,96.488,nan
1090.622,4053.3279,nan,9.3614,9.3614,1.2405,154.3451,nan,nan,59.0425,1.0446,1.0463,0.7668,nan,0.0008,0.0008,2.0525,271.0107,1.0,1.0,-1012.002,99.407,nan
1090.7744,4102.7686,nan,9.2741,9.2741,1.2462,153.8238,nan,nan,58.1956,1.0413,1.0451,0.7814,nan,0.0005,0.0005,2.0705,270.8925,1.0,1.0,-1012.1544,99.572,nan
1090.9268,4141.2031,nan,9.2869,9.2869,1.2545,153.7748,nan,nan,58.3203,1.0438,1.0449,0.7497,nan,0.0036,0.0036,2.0893,271.0846,1.0,1.0,-1012.3068,96.921,nan
1091.0792,4135.2979,nan,9.421,9.421,1.2486,154.1661,nan,nan,60.0152,1.0479,1.0483,0.682,nan,0.011,0.011,2.0916,271.5125,1.0,1.0,-1012.4592,91.367,nan
1091.2316,4103.418,nan,9.5989,9.5989,1.2505,154.4056,nan,nan,61.079,1.0481,1.0491,0.6099,nan,0.0176,0.0176,2.0787,272.1016,1.0,1.0,-1012.6116,86.478,nan
1091.384,4083.4421,nan,9.7113,9.7113,1.2392,154.2063,nan,nan,61.2992,1.0453,1.0481,0.5601,nan,0.0216,0.0216,2.0659,272.7305,1.0,1.0,-1012.764,83.412,nan
1091.5364,4076.6531,nan,9.6707,9.6707,1.243,153.7603,nan,nan,61.3064,1.0428,1.0492,0.5426,nan,0.0239,0.0239,2.0565,273.0748,1.0,1.0,-1012.9164,81.645,nan
1091.6888,4086.9138,nan,9.5608,9.5608,1.2535,153.51,nan,nan,59.9998,1.0407,1.0504,0.5512,nan,0.0232,0.0232,2.0583,272.9839,1.0,1.0,-1013.0688,82.179,nan
1091.8412,4101.1763,nan,9.4835,9.4835,1.2564,153.8486,nan,nan,57.9036,1.0319,1.0459,0.5726,nan,0.021,0.021,2.0701,272.7199,1.0,1.0,-1013.2212,83.904,nan
1091.9936,4106.187,nan,9.4687,9.4687,1.2369,154.7127,nan,nan,56.8608,1.0167,1.0308,0.5907,nan,0.0187,0.0187,2.0842,272.623,1.0,1.0,-1013.3736,85.68,nan
1092.146,4101.147,nan,9.5266,9.5266,1.204,155.519,nan,nan,56.9535,1.0027,1.0138,0.6013,nan,0.0172,0.0172,2.0925,272.6198,1.0,1.0,-1013.526,86.84,nan
1092.2984,4087.0388,nan,9.682,9.682,1.1768,155.7404,nan,nan,57.31,0.9925,1.0101,0.6034,nan,0.0167,0.0167,2.0883,272.5028,1.0,1.0,-1013.6784,87.214,nan
1092.4508,4079.3066,nan,9.7407,9.7407,1.1874,155.4199,nan,nan,57.5983,1.0055,1.032,0.5986,nan,0.0174,0.0174,2.0801,272.3127,1.0,1.0,-1013.8308,86.693,nan
1092.6032,4091.2949,nan,9.7133,9.7133,1.2243,154.9295,nan,nan,57.5434,1.0619,1.0755,0.586,nan,0.0191,0.0191,2.0796,272.0674,1.0,1.0,-1013.9832,85.33,nan
1092.7556,4113.3257,nan,9.6971,9.6971,1.2891,154.6547,nan,nan,56.5347,1.1006,1.0926,0.5728,nan,0.0211,0.0211,2.0871,271.7864,1.0,1.0,-1014.1356,83.791,nan
1092.908,4127.2534,nan,9.687,9.687,1.2923,154.6209,nan,nan,55.3842,1.0633,1.0569,0.5634,nan,0.0224,0.0224,2.0937,271.6464,1.0,1.0,-1014.288,82.845,nan
1093.0604,4125.5493,nan,9.5638,9.5638,1.2622,154.5104,nan,nan,55.8233,1.0118,1.015,0.5588,nan,0.0228,0.0228,2.0913,271.6704,1.0,1.0,-1014.4404,82.554,nan
1093.2128,4120.8018,nan,9.3862,9.3862,1.2078,154.0753,nan,nan,57.6702,0.9966,1.0036,0.5586,nan,0.0227,0.0227,2.0831,271.8395,1.0,1.0,-1014.5928,82.597,nan
1093.3652,4139.8101,nan,9.2678,9.2678,1.1841,153.5902,nan,nan,59.6146,1.0004,1.0075,0.5613,nan,0.0225,0.0225,2.0861,272.1853,1.0,1.0,-1014.7452,82.747,nan
1093.5176,4169.416,nan,9.2331,9.2331,1.1917,153.6751,nan,nan,61.1043,0.9922,1.0012,0.5663,nan,0.0221,0.0221,2.1021,272.5955,1.0,1.0,-1014.8976,83.052,nan
1093.67,4185.8828,nan,9.1784,9.1784,1.1786,154.3943,nan,nan,61.5021,0.9748,0.9858,0.5709,nan,0.0215,0.0215,2.1203,272.7534,1.0,1.0,-1015.05,83.523,nan
1093.8224,4184.0596,nan,9.137,9.137,1.1595,155.1595,nan,nan,60.8641,0.9624,0.9761,0.5755,nan,0.0208,0.0208,2.1299,272.5243,1.0,1.0,-1015.2024,84.048,nan
1093.9748,4161.5684,nan,8.9835,8.9835,1.1513,155.2525,nan,nan,60.1482,0.97,0.9901,0.5788,nan,0.0204,0.0204,2.1197,272.1595,1.0,1.0,-1015.3548,84.34,nan
1094.1272,4141.2017,nan,8.7026,8.7026,1.1968,154.3364,nan,nan,59.9086,1.0179,1.0327,0.5746,nan,0.021,0.021,2.0969,271.8866,1.0,1.0,-1015.5072,83.891,nan
1094.2796,4127.4189,nan,8.5331,8.5331,1.2675,152.9251,nan,nan,60.5029,1.0715,1.0748,0.564,nan,0.0224,0.0224,2.0708,271.8135,1.0,1.0,-1015.6596,82.805,nan
1094.432,4117.8521,nan,8.697,8.697,1.333,151.9436,nan,nan,61.2674,1.0947,1.1008,0.5547,nan,0.0236,0.0236,2.0528,271.9609,1.0,1.0,-1015.812,81.932,nan
1094.5844,4108.4204,nan,8.8939,8.8939,1.3566,151.8221,nan,nan,61.0913,1.0884,1.0971,0.5544,nan,0.0236,0.0236,2.0464,272.0975,1.0,1.0,-1015.9644,81.934,nan
