DEPTH,ACOUSTICIMPEDANCE1,AI,BS,CALI,CALI[DERIVED]1,DRES,DT,DT2,DT4P,FACIES,FLD1,GR,GR_EDTC,LLD,LLS,M2R2,LLS_1,LLD_1,DEPTH_1,MSFL,NPHI,PERF_INT,PIMP,PR,RHOB,RT_MODELLING,RT_POWER,SP,TDVSS,TENS,VPVS,ZLT
1423.2634,5535.2749,5535334.0,8.5,11.0923,11.0923,1.9716,123.5108,390.3419,123.5108,0.0,nan,61.4504,93.7757,1.9716,1.7065,nan,nan,nan,1423.2633,1.2039,0.4646,nan,18160.5449,0.4444,2.243,1.9716,3.8872,-69.0635,-1242.5509,1622.3268,3.1604,0.0
1423.4158,5792.9409,5792950.5,8.5,11.0847,11.0847,2.0102,120.8268,357.6849,120.8268,0.0,nan,62.4292,92.8228,2.0102,1.7369,nan,nan,nan,1423.4158,1.4405,0.4756,nan,19005.7422,0.4356,2.2964,2.0102,4.0409,-68.4239,-1242.658,1495.1666,2.9603,0.0
1423.5682,5854.9282,5854869.5,8.5,10.958,10.958,2.0952,122.3588,331.1036,122.3588,0.0,nan,63.5306,102.5517,2.0952,1.8054,nan,nan,nan,1423.5681,2.042,0.4642,nan,19208.8906,0.4209,2.3504,2.0952,4.3899,-68.1319,-1242.765,1595.8674,2.706,0.0
1423.7206,6155.5601,6155503.0,8.5,10.7775,10.7775,2.2328,118.1853,315.5266,118.1853,0.0,nan,63.454,105.5368,2.2328,1.9127,nan,nan,nan,1423.7206,2.3073,0.4295,nan,20195.2207,0.4184,2.3868,2.2328,4.9854,-68.2078,-1242.8721,1731.8215,2.6697,0.0
1423.873,6192.4927,6192458.5,8.5,10.773,10.773,2.3788,118.2384,326.4197,118.2384,0.0,nan,63.6733,106.3015,2.3788,2.0261,nan,nan,nan,1423.8729,1.8754,0.3982,nan,20316.4648,0.4245,2.4022,2.3788,5.6587,-68.6034,-1242.9791,1791.9213,2.7607,0.0
1424.0254,6260.0796,6260084.5,8.5,10.9765,10.9765,2.4976,117.215,282.5598,117.215,0.0,nan,65.3842,93.8368,2.4976,2.1254,nan,nan,nan,1424.0254,1.9969,0.3975,nan,20538.3359,0.396,2.4074,2.4976,6.238,-69.1177,-1243.0862,1947.7953,2.4106,0.0
1424.1778,6234.4155,6234408.5,8.5,11.1911,11.1911,2.5836,118.0153,292.9886,118.0153,0.0,nan,64.1382,84.7366,2.5836,2.1978,nan,nan,nan,1424.1777,2.2036,0.411,nan,20454.0957,0.4032,2.4139,2.5836,6.675,-69.4858,-1243.1932,1959.9843,2.4826,0.0
1424.3302,6255.3481,6255311.5,8.5,11.3483,11.3483,2.6421,117.8299,249.0436,117.8299,0.0,nan,61.8185,84.5588,2.6421,2.2403,nan,nan,nan,1424.3302,2.2737,0.4296,nan,20522.6758,0.3558,2.4182,2.6421,6.9807,-69.6669,-1243.3003,1920.0525,2.1136,0.0
1424.4826,6146.3267,6146293.5,8.5,11.3351,11.3351,2.6615,119.5927,251.9857,119.5927,0.0,nan,62.4645,87.7393,2.6615,2.2477,nan,nan,nan,1424.4825,2.2199,0.4328,nan,20165.0039,0.3546,2.4116,2.6615,7.0836,-69.6804,-1243.4073,1865.0721,2.107,0.0
1424.635,6055.2446,6055263.0,8.5,11.1441,11.1441,2.5982,120.5258,268.4588,120.5258,0.0,nan,62.7663,93.6735,2.5982,2.1858,nan,nan,nan,1424.635,2.0603,0.4324,nan,19866.3496,0.3738,2.3944,2.5982,6.7506,-69.6808,-1243.5144,1829.0472,2.2274,0.0
1424.7874,6062.1777,6062226.5,8.5,11.0107,11.0107,2.4705,119.7846,271.799,119.7846,0.0,nan,61.3679,92.1743,2.4705,2.0715,nan,nan,nan,1424.7874,1.8286,0.4304,nan,19889.1934,0.3795,2.3824,2.4705,6.1034,-69.5075,-1243.6215,1759.0919,2.269,0.0
1424.9398,6070.1299,6070173.0,8.5,10.966,10.966,2.3561,119.7582,271.1403,119.7582,0.0,nan,60.0487,98.5982,2.3561,1.9692,nan,nan,nan,1424.9397,1.5088,0.4218,nan,19915.2656,0.3788,2.385,2.3561,5.5512,-69.1669,-1243.7285,1728.0406,2.2641,0.0
1425.0922,6188.2129,6188233.0,8.5,10.9156,10.9156,2.3115,118.2414,256.8896,118.2414,0.0,nan,60.7825,95.0289,2.3115,1.9283,nan,nan,nan,1425.0922,1.495,0.4193,nan,20302.5996,0.3656,2.4006,2.3115,5.343,-68.8339,-1243.8356,1712.021,2.1726,0.0
1425.2446,6270.353,6270332.5,8.5,10.8142,10.8142,2.3516,117.7084,257.8444,117.7084,0.0,nan,61.4172,99.8783,2.3516,1.9532,nan,nan,nan,1425.2445,2.0962,0.4169,nan,20571.9551,0.3684,2.4215,2.3516,5.53,-68.4656,-1243.9427,1743.958,2.1906,0.0
1425.397,6298.2378,6298200.5,8.5,10.7496,10.7496,2.467,117.8987,258.1738,117.8987,0.0,nan,60.4108,99.15,2.467,2.0371,nan,nan,nan,1425.397,2.2171,0.4146,nan,20663.3887,0.3683,2.4362,2.467,6.0861,-68.0977,-1244.0498,1865.8398,2.1898,0.0
1425.5494,6367.0308,6366998.0,8.5,10.8214,10.8214,2.5796,116.8115,241.7742,116.8115,0.0,nan,61.7628,102.674,2.5796,2.1263,nan,nan,nan,1425.5493,2.2725,0.4013,nan,20889.1016,0.3477,2.4401,2.5796,6.6543,-67.7847,-1244.1569,1841.0328,2.0698,0.0
1425.7018,6324.0249,6324026.5,8.5,10.8229,10.8229,2.6428,117.3263,251.1339,117.3263,0.0,nan,66.1937,100.7854,2.6428,2.1852,nan,nan,nan,1425.7018,2.2462,0.3961,nan,20748.1191,0.3604,2.4343,2.6428,6.9844,-67.7979,-1244.2639,1802.0511,2.1405,0.0
1425.8542,6442.0073,6442054.5,8.5,10.708,10.708,2.6943,114.9221,240.493,114.9221,0.0,nan,66.2346,91.1655,2.6943,2.2371,nan,nan,nan,1425.8541,2.2197,0.4058,nan,21135.3477,0.352,2.4289,2.6943,7.2593,-68.1179,-1244.371,1759.0564,2.0927,0.0
1426.0066,6456.792,6456908.5,8.5,10.6671,10.6671,2.7821,114.9988,228.0835,114.9988,0.0,nan,65.0037,87.3493,2.7821,2.3229,nan,nan,nan,1426.0066,2.11,0.4201,nan,21184.084,0.3295,2.4361,2.7821,7.7401,-68.361,-1244.478,1770.9843,1.9833,0.0
1426.159,6519.4834,6519658.0,8.5,10.6546,10.6546,3.0122,115.8004,202.2729,115.8004,0.0,nan,62.7837,82.1434,3.0122,2.5186,nan,nan,nan,1426.1589,2.1873,0.4126,nan,21389.9551,0.2562,2.4769,3.0122,9.0733,-68.4308,-1244.5851,1784.9816,1.7467,0.0
1426.3114,6417.0122,6417082.5,8.5,10.5413,10.5413,3.4699,121.9958,202.6178,121.9958,0.0,nan,58.44,77.5983,3.4699,2.9053,nan,nan,nan,1426.3114,3.1521,0.3811,nan,21053.4219,0.2157,2.5684,3.4699,12.0402,-68.2989,-1244.6921,1827.9436,1.6609,0.0
1426.4638,6703.3672,6703111.5,8.5,10.4296,10.4296,4.0086,121.8269,204.6293,121.8269,0.0,nan,51.84,76.9724,4.0086,3.3702,nan,nan,nan,1426.4637,5.274,0.3459,nan,21991.8359,0.2255,2.6793,4.0086,16.0689,-68.0766,-1244.7992,1865.9501,1.6797,0.0
1426.6162,6848.6733,6848248.5,8.5,10.4151,10.4151,4.2538,120.7064,217.1321,120.7064,0.0,nan,49.1255,81.252,4.2538,3.555,nan,nan,nan,1426.6162,4.5294,0.3373,nan,22468.0059,0.2763,2.7122,4.2538,18.0948,-67.8752,-1244.9062,1893.9633,1.7988,0.0
1426.7686,6711.3428,6711254.5,8.5,10.3679,10.3679,4.0168,118.8119,218.0774,118.8119,0.0,nan,51.8464,92.6007,4.0168,3.3314,nan,nan,nan,1426.7686,2.2067,0.3502,nan,22018.5508,0.289,2.6161,4.0168,16.1347,-67.6601,-1245.0133,1974.8937,1.8355,0.0
1426.921,6339.2725,6339470.5,8.5,10.1498,10.1498,3.4437,119.9386,216.2174,119.9386,0.0,nan,54.7138,99.6879,3.4437,2.8779,nan,nan,nan,1426.9209,1.926,0.371,nan,20798.7871,0.2777,2.4945,3.4437,11.8591,-67.4305,-1245.1204,1950.0328,1.8027,0.0
1427.0734,6196.0337,6196207.0,8.5,10.1211,10.1211,2.9458,119.5827,211.3741,119.5827,0.0,nan,56.5482,98.8839,2.9458,2.4751,nan,nan,nan,1427.0734,2.1327,0.387,nan,20328.7637,0.2646,2.4309,2.9458,8.6777,-67.3954,-1245.2274,1939.0144,1.7676,0.0
1427.2258,6181.4243,6181482.0,8.5,10.2372,10.2372,2.7535,119.2884,211.0189,119.2884,0.0,nan,58.2031,97.0774,2.7535,2.2972,nan,nan,nan,1427.2257,2.0644,0.3932,nan,20280.4531,0.2652,2.4192,2.7535,7.5818,-67.6108,-1245.3345,1899.0525,1.769,0.0
1427.3782,6198.3491,6198345.5,8.5,10.2841,10.2841,2.776,119.243,211.3267,119.243,0.0,nan,58.6309,93.5548,2.776,2.3033,nan,nan,nan,1427.3782,2.13,0.4034,nan,20335.7793,0.2664,2.4249,2.776,7.7062,-67.8747,-1245.4415,1880.0249,1.7722,0.0
1427.5306,6284.6528,6284614.0,8.5,10.239,10.239,2.8776,117.8286,211.617,117.8286,0.0,nan,55.7324,90.5822,2.8776,2.3866,nan,nan,nan,1427.5305,2.5178,0.4167,nan,20618.8125,0.2753,2.4295,2.8776,8.2806,-68.0833,-1245.5486,1878.0027,1.796,0.0
1427.683,6259.7339,6259680.0,8.5,10.1504,10.1504,2.9194,117.947,209.2701,117.947,0.0,nan,52.608,90.1312,2.9194,2.4316,nan,nan,nan,1427.683,2.7875,0.4397,nan,20537.0078,0.2672,2.4223,2.9194,8.5229,-68.1875,-1245.6556,1833.0591,1.7742,0.0
1427.8354,6079.8608,6079904.0,8.5,10.051,10.051,2.8543,120.2784,242.7537,120.2784,0.0,nan,51.3458,92.8386,2.8543,2.3927,nan,nan,nan,1427.8353,2.1065,0.4504,nan,19947.1914,0.3373,2.3992,2.8543,8.147,-68.25,-1245.7627,1863.9594,2.0183,0.0
1427.9878,6101.8608,6101930.0,8.5,10.0728,10.0728,2.7285,119.2703,247.0193,119.2703,0.0,nan,53.8912,95.5582,2.7285,2.3021,nan,nan,nan,1427.9878,1.631,0.4403,nan,20019.457,0.348,2.3877,2.7285,7.4447,-68.4642,-1245.8698,1853.0144,2.0711,0.0
1428.1402,6113.6758,6113692.0,8.5,10.2301,10.2301,2.597,119.5035,240.573,119.5035,0.0,nan,55.6468,92.7761,2.597,2.2006,nan,nan,nan,1428.1401,1.7105,0.4189,nan,20058.0449,0.3362,2.397,2.597,6.7444,-68.9235,-1245.9768,1889.9514,2.0131,0.0
1428.2926,6147.7578,6147736.5,8.5,10.3695,10.3695,2.5106,119.5401,233.787,119.5401,0.0,nan,52.6766,94.4254,2.5106,2.1327,nan,nan,nan,1428.2926,1.8188,0.4026,nan,20169.7402,0.323,2.4111,2.5106,6.3031,-69.1736,-1246.0839,1898.9882,1.9557,0.0
1428.445,6135.3228,6135292.0,8.5,10.4443,10.4443,2.5017,120.1649,249.7852,120.1649,0.0,nan,50.8293,89.2742,2.5017,2.124,nan,nan,nan,1428.4449,2.0487,0.3969,nan,20128.9102,0.3495,2.4188,2.5017,6.2585,-69.2637,-1246.1909,1899.9987,2.0786,0.0
1428.5974,6056.9951,6056962.0,8.5,10.4934,10.4934,2.5309,121.6333,261.3048,121.6333,0.0,nan,44.4679,88.526,2.5309,2.1371,nan,nan,nan,1428.5974,2.2346,0.395,nan,19871.9219,0.3617,2.4171,2.5309,6.4055,-69.2782,-1246.298,1877.0302,2.1483,0.0
