DEPTH,ACOUSTICIMPEDANCE1,AI,AVG_PIGN,CALI,CALI[DERIVED]1,DFL,DT,FACIES,FLD1,GR,HDRS,HMRS,DEPTH_1,NPHI,PERF_INT,PERMEABILITY,PHIT,PIGN,PIGN_MODELLING,PIMP,RHOB,LLD,RT_MODELLING,RT_POWER,SP,SUWI,SUWI_MODELLING,SXWI,TDVSS,VCL,WATER_VOL,ZLT
1214.1148,4220.2798,4220280.0,nan,10.0858,10.0858,1.209,152.4,0.0,nan,64.5919,0.834,0.8633,1214.1147,0.6143,nan,nan,0.2305,0.0177,0.0177,13846.0625,2.1101,0.834,0.834,0.6956,84.7857,1.0,1.0,1.0,-1147.3848,94.251,0.0177,nan
1214.2672,4228.9199,4228920.0,nan,10.1503,10.1503,1.19,152.4,0.0,nan,66.4513,0.8448,0.8763,1214.2672,0.6316,nan,nan,0.2256,0.0172,0.0172,13874.4102,2.1145,0.8448,0.8448,0.7137,85.0888,1.0,1.0,1.0,-1147.5371,98.31,0.0172,nan
1214.4196,4249.0205,4249020.5,nan,10.2307,10.2307,1.1818,152.4,0.0,nan,69.4449,0.8535,0.8858,1214.4196,0.6464,nan,nan,0.2226,0.0199,0.0199,13940.3555,2.1245,0.8535,0.8535,0.7284,85.1674,1.0,1.0,1.0,-1147.6896,99.92,0.0199,nan
1214.572,4267.9004,4267900.0,nan,10.2318,10.2318,1.1878,152.4,0.0,nan,71.1144,0.8582,0.8882,1214.572,0.6561,nan,nan,0.2214,0.02,0.02,14002.2969,2.1339,0.8581,0.8581,0.7364,85.0723,1.0,1.0,1.0,-1147.8419,99.997,0.02,nan
1214.7244,4281.2598,4281259.5,nan,10.1288,10.1288,1.1872,152.4,0.0,nan,71.0378,0.8585,0.8852,1214.7244,0.6572,nan,nan,0.2197,0.02,0.02,14046.1279,2.1406,0.8584,0.8584,0.7369,85.0476,1.0,1.0,1.0,-1147.9944,99.997,0.02,nan
1214.8768,4294.3198,4294320.0,nan,10.0207,10.0207,1.1801,152.4,0.0,nan,69.5629,0.8592,0.8828,1214.8767,0.6447,nan,nan,0.2163,0.02,0.02,14088.9756,2.1472,0.8593,0.8593,0.7384,85.3189,1.0,1.0,1.0,-1148.1467,99.997,0.02,nan
1215.0292,4299.3999,4299400.0,nan,9.934,9.934,1.1687,152.4,0.0,nan,67.6673,0.8626,0.8815,1215.0292,0.6177,nan,nan,0.2144,0.02,0.02,14105.6436,2.1497,0.8627,0.8627,0.7442,85.7735,1.0,1.0,1.0,-1148.2992,97.363,0.02,nan
1215.1816,4283.1602,4283160.5,nan,9.7446,9.7446,1.1744,152.4,0.0,nan,67.6471,0.861,0.8733,1215.1815,0.5818,nan,nan,0.2167,0.02,0.02,14052.3633,2.1416,0.8608,0.8608,0.7409,86.4083,1.0,1.0,1.0,-1148.4515,92.157,0.02,nan
1215.334,4243.2007,4243200.5,nan,9.3371,9.3371,1.1825,152.4,0.0,nan,67.1797,0.8456,0.8485,1215.334,0.5452,nan,nan,0.2229,0.0198,0.0198,13921.2617,2.1216,0.8452,0.8452,0.7144,87.3869,1.0,1.0,1.0,-1148.604,85.556,0.0198,nan
1215.4864,4188.3599,4188360.0,nan,8.8047,8.8047,1.1392,152.4,0.0,nan,63.4326,0.7987,0.7915,1215.4863,0.5147,nan,nan,0.2451,0.0582,0.0582,13741.3379,2.0942,0.7979,0.7979,0.6366,88.5145,1.0,1.0,1.0,-1148.7563,74.959,0.0582,nan
1215.6388,4159.3599,4159360.0,nan,8.3442,8.3442,1.0548,152.4,0.0,nan,59.1823,0.7225,0.7135,1215.6388,0.4966,nan,nan,0.2657,0.0998,0.0998,13646.1943,2.0797,0.722,0.722,0.5213,89.3947,1.0,1.0,1.0,-1148.9088,66.376,0.0998,nan
1215.7912,4204.2207,4204220.5,nan,8.2046,8.2046,0.9114,152.4,0.0,nan,56.0765,0.6761,0.6755,1215.7911,0.4934,nan,nan,0.2718,0.1129,0.1129,13793.374,2.1021,0.6773,0.6773,0.4588,89.0729,1.0,1.0,1.0,-1149.0612,63.572,0.1129,nan
1215.9436,4332.0601,4332060.0,nan,8.2792,8.2792,0.8562,152.4,0.0,nan,53.771,0.7294,0.7359,1215.9436,0.5043,nan,nan,0.256,0.106,0.106,14212.7949,2.166,0.7319,0.7319,0.5356,87.8188,1.0,1.0,1.0,-1149.2136,65.831,0.106,nan
1216.096,4507.4404,4507440.5,nan,8.3623,8.3623,1.1734,152.4,0.0,nan,53.805,0.9343,0.9397,1216.0959,0.523,nan,nan,0.214,0.0855,0.0855,14788.1895,2.2537,0.9378,0.9378,0.8794,86.2111,1.0,1.0,1.0,-1149.366,72.45,0.0855,nan
1216.2484,4211.7617,4211761.5,nan,8.4873,8.4873,1.6935,170.0789,0.0,nan,55.3839,1.2343,1.2419,1216.2484,0.5398,nan,nan,0.1691,0.0721,0.0721,13818.1152,2.3502,1.2353,1.2353,1.5259,84.9594,1.0,1.0,1.0,-1149.5183,76.779,0.0721,nan
1216.4008,4019.6167,4019616.75,nan,8.7675,8.7675,2.2093,182.88,0.0,nan,55.6305,1.4596,1.4829,1216.4008,0.5502,nan,nan,0.1498,0.0638,0.0638,13187.7188,2.4118,1.4567,1.4567,2.122,84.2521,1.0,1.0,1.0,-1149.6708,79.448,0.0638,nan
